	Time	Latitude	Longitude	Magnitude	Epicenter	Remarks	YYYY	MM	DD
247	11:53	27.92	85.66	4.4	Sindhupalchowk	NSC	2016.0	7.0	7.0
248	08:59	28.31	84.35	4.3	Lamjung	NSC/RSC	2016.0	7.0	7.0
249	12:23	29.64	81.28	4.4	Bajhang	RSC/NSC	2016.0	7.0	2.0
250	09:26	29.63	81.24	4.2	Bajhang	RSC/NSC	2016.0	6.0	29.0
251	09:10	29.63	81.28	5.0	Bajhang	RSC/NSC	2016.0	6.0	29.0
252	13:00	27.76	86.34	4.1	Dolakha	NSC	2016.0	6.0	22.0
253	05:49	27.93	85.21	4.4	Nuwakot	NSC	2016.0	6.0	21.0
254	23:27	28.03	84.64	4.3	Gorkha	NSC	2016.0	6.0	14.0
255	23:25	27.96	85.62	4.4	Sindhupalchowk	NSC	2016.0	6.0	3.0
256	09:39	27.94	85.5	4.6	Sindhupalchok	NSC/RSC	2016.0	5.0	28.0
257	19:09	27.73	85.16	4.2	Dhading	NSC/RSC	2016.0	5.0	24.0
258	22:45	27.93	85.5	4.4	Sindhupalchowk	NSC/RSC	2016.0	5.0	15.0
259	23:20	27.97	85.55	4.3	Sindhupalchowk	NSC	2016.0	5.0	14.0
260	19:24	27.69	86.24	4.1	Dolakha	NSC	2016.0	5.0	13.0
261	08:52	28.01	84.68	4.5	Gorkha	NSC	2016.0	5.0	11.0
262	01:19	28.01	84.94	4.4	Dhading	NSC	2016.0	5.0	11.0
263	04:46	28.24	84.99	4.1	Gorkha/Dhading	NSC	2016.0	5.0	5.0
264	05:32	29.38	81.88	4.0	Kalikot	RSC/NSC	2016.0	5.0	4.0
265	06:43	29.54	81.1	4.2	Bajhang	RSC/NSC	2016.0	4.0	30.0
266	09:33	28.05	85.38	4.3	Rasuwa	NSC	2016.0	4.0	26.0
267	20:31	28.08	85.13	4.2	Nuwakot	NSC	2016.0	4.0	24.0
268	11:04	27.79	85.85	4.0	Sindhupalchowk	NSC	2016.0	4.0	22.0
269	06:56	27.72	86.29	4.0	Dolakha	NSC	2016.0	4.0	22.0
270	14:41	27.56	86.17	4.4	Dolakha	NSC	2016.0	4.0	12.0
271	13:20	27.65	85.31	4.5	Lalitpur	NSC	2016.0	4.0	9.0
272	04:31	27.72	86.09	4.7	Dolakha	NSC	2016.0	4.0	4.0
273	03:55	29.81	81.51	4.3	Bajhang	RSC/NSC	2016.0	4.0	4.0
274	22:41	27.93	85.59	4.0	Sindhupalchowk	NSC	2016.0	3.0	31.0
275	12:26	27.89	85.73	4.7	Sindhupalchowk	NSC	2016.0	3.0	30.0
276	23:41	27.75	88.04	4.1	Taplejung	NSC	2016.0	3.0	24.0
277	05:14	27.34	86.27	4.0	Okhaldhunga	NSC	2016.0	3.0	17.0
278	21:27	27.84	85.73	4.5	Sindhupalchowk	NSC	2016.0	3.0	15.0
279	05:15	27.83	84.9	4.8	Dhading	NSC	2016.0	3.0	13.0
280	09:28	27.9	85.87	4.2	Sindhupalchowk	NSC	2016.0	3.0	11.0
281	08:05	30.22	81.7	4.4	Humla	NSC/RSC	2016.0	3.0	7.0
282	01:25	27.69	85.93	4.0	Sindhupalchowk	NSC	2016.0	3.0	6.0
283	10:45	27.79	85.73	4.3	Sindhupalchowk	NSC	2016.0	3.0	1.0
284	09:22	27.8	85.74	5.4	Sindhupalchok	NSC	2016.0	2.0	24.0
285	03:00	27.47	87.15	4.5	Sankhuwasava	NSC	2016.0	2.0	23.0
286	18:09	28.08	84.76	5.5	Gorkha	NSC	2016.0	2.0	21.0
