,Time,Latitude,Longitude,Magnitude,Epicenter,Remarks,YYYY,MM,DD,Date
235,04:02,29.69,81.05,4.0,Bajhang,RSC/NSC,2016,11,06,11/06/2016
236,04:18,27.87,85.3,4.0,Nuwakot,NSC,2016,10,17,10/17/2016
237,12:37,28.04,85.17,4.1,Rasuwa,NSC,2016,10,15,10/15/2016
238,08:29,27.66,85.95,4.1,Dolakha,NSC,2016,10,12,10/12/2016
239,07:08,27.67,85.95,4.6,Dolakha,NSC,2016,10,11,10/11/2016
240,04:52,27.65,86.13,4.2,Dolakha,NSc,2016,10,07,10/07/2016
241,17:12,27.91,85.77,4.6,Sindhupalchowk,NSC,2016,09,18,09/18/2016
242,02:04,27.78,86.35,4.5,Dolakha,NSC,2016,09,05,09/05/2016
243,00:37,27.82,86.14,4.1,Dolakha,NSC,2016,09,05,09/05/2016
244,12:03,29.81,81.56,4.0,Bajura,RSC/NSC,2016,08,27,08/27/2016
245,06:14,27.99,84.71,4.1,Gorkha,NSC,2016,07,23,07/23/2016
246,22:23,27.84,86.16,4.1,Dolakha,NSC,2016,07,08,07/08/2016
247,11:53,27.92,85.66,4.4,Sindhupalchowk,NSC,2016,07,07,07/07/2016
248,08:59,28.31,84.35,4.3,Lamjung,NSC/RSC,2016,07,07,07/07/2016
249,12:23,29.64,81.28,4.4,Bajhang,RSC/NSC,2016,07,02,07/02/2016
250,09:26,29.63,81.24,4.2,Bajhang,RSC/NSC,2016,06,29,06/29/2016
251,09:10,29.63,81.28,5.0,Bajhang,RSC/NSC,2016,06,29,06/29/2016
252,13:00,27.76,86.34,4.1,Dolakha,NSC,2016,06,22,06/22/2016
253,05:49,27.93,85.21,4.4,Nuwakot,NSC,2016,06,21,06/21/2016
254,23:27,28.03,84.64,4.3,Gorkha,NSC,2016,06,14,06/14/2016
255,23:25,27.96,85.62,4.4,Sindhupalchowk,NSC,2016,06,03,06/03/2016
256,09:39,27.94,85.5,4.6,Sindhupalchok,NSC/RSC,2016,05,28,05/28/2016
257,19:09,27.73,85.16,4.2,Dhading,NSC/RSC,2016,05,24,05/24/2016
258,22:45,27.93,85.5,4.4,Sindhupalchowk,NSC/RSC,2016,05,15,05/15/2016
259,23:20,27.97,85.55,4.3,Sindhupalchowk,NSC,2016,05,14,05/14/2016
260,19:24,27.69,86.24,4.1,Dolakha,NSC,2016,05,13,05/13/2016
261,08:52,28.01,84.68,4.5,Gorkha,NSC,2016,05,11,05/11/2016
262,01:19,28.01,84.94,4.4,Dhading,NSC,2016,05,11,05/11/2016
263,04:46,28.24,84.99,4.1,Gorkha/Dhading,NSC,2016,05,05,05/05/2016
264,05:32,29.38,81.88,4.0,Kalikot,RSC/NSC,2016,05,04,05/04/2016
265,06:43,29.54,81.1,4.2,Bajhang,RSC/NSC,2016,04,30,04/30/2016
266,09:33,28.05,85.38,4.3,Rasuwa,NSC,2016,04,26,04/26/2016
